round,reconnect_count
280,0
281,2
282,1
283,2
284,0
285,3
286,0
287,5
288,0
289,1
290,1
291,0
292,1
293,0
294,2
295,0
296,4
297,1
298,1
299,0
300,1
301,1
302,2
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,4
312,1
313,0
314,2
315,0
316,2
317,1
318,0
319,1
320,1
321,1
322,1
323,2
324,0
325,2
326,1
327,1
328,1
329,2
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,0
338,2
339,0
340,0
341,0
342,2
343,0
344,2
345,1
346,1
347,0
348,0
349,2
350,0
351,2
352,0
353,1
354,0
355,0
356,1
357,0
358,1
359,0
360,2
361,0
362,0
363,1
364,1
365,2
366,1
367,1
368,0
369,1
370,0
371,2
372,0
373,1
374,1
375,1
376,0
377,0
378,2
379,0
380,5
381,0
382,2
383,1
384,1
385,2
386,0
387,0
388,0
389,1
390,1
391,1
392,0
393,5
394,2
395,0
396,2
397,0
398,1
399,1
400,2
401,1
402,0
403,2
404,0
405,0
406,0
407,2
408,3
409,1
410,0
411,3
412,1
413,0
414,1
415,0
416,1
417,0
418,1
419,1
420,0
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,0
431,0
432,2
433,0
434,1
435,0
436,0
437,1
438,0
439,1
440,0
441,1
442,1
443,2
444,2
445,2
446,3
447,1
448,0
449,1
450,0
451,2
452,0
453,3
454,1
455,0
456,1
457,3
458,0
459,0
460,1
461,1
462,0
463,1
464,1
465,0
466,0
467,1
468,0
469,2
470,2
471,0
472,2
473,0
474,1
475,1
476,0
477,2
478,1
479,1
480,1
481,2
482,1
483,0
484,3
485,0
486,1
487,1
488,0
489,1
490,2
491,1
492,0
493,2
494,0
495,2
496,1
497,0
498,1
499,1
500,0
501,2
502,0
503,1
504,0
505,3
506,0
507,2
508,1
509,1
510,1
511,1
512,2
513,22
514,6
515,0
516,1
517,1
518,1
519,2
520,0
521,0
522,1
523,4
524,1
525,1
526,3
527,1
528,1
529,1
530,0
531,4
532,0
533,3
534,2
535,1
536,1
537,1
538,2
539,0
540,2
541,0
542,0
543,1
544,0
545,1
546,4
547,3
548,1
549,1
550,2
551,0
552,1
553,0
554,3
555,2
556,1
557,1
558,0
559,1
560,0
561,0
562,2
563,0
564,1
565,2
566,1
567,0
568,0
569,5
570,0
571,2
572,1
573,0
574,1
575,0
576,1
577,1
578,1
579,2
580,1
581,1
582,0
583,4
584,0
585,1
586,1
587,0
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,1
596,1
597,2
598,0
599,3
600,0
601,0
602,1
603,0
604,1
605,0
606,1
607,1
608,0
609,2
610,0
611,1
612,0
613,0
614,2
615,0
616,1
617,1
618,2
619,0
620,2
621,0
622,1
623,2
624,3
625,0
626,1
627,1
628,0
629,2
630,2
631,0
632,3
633,0
634,3
635,0
636,0
637,2
638,0
639,1
640,0
641,2
642,0
643,3
644,2
645,0
646,1
647,1
648,1
649,0
650,0
651,2
652,0
653,1
654,0
655,3
656,2
657,0
658,3
659,0
660,1
661,0
662,0
663,2
664,0
665,2
666,0
667,2
668,0
669,1
670,3
671,1
672,0
673,0
674,2
675,1
676,2
677,1
678,1
679,0
680,0
681,1
682,1
683,0
684,1
685,0
686,3
687,0
688,2
689,2
690,0
691,2
692,0
693,1
694,4
695,0
696,3
697,2
698,0
699,0
700,1
701,1
702,1
703,4
704,0
705,0
706,1
707,0
708,1
709,2
710,0
711,3
712,2
713,0
714,1
715,2
716,1
717,0
718,3
719,1
720,0
721,1
722,0
723,2
724,0
725,1
726,0
727,0
728,2
729,0
730,1
731,1
732,1
733,1
734,1
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,1
743,0
744,1
745,1
746,1
747,0
748,1
749,2
750,0
751,1
752,0
753,1
754,1
755,1
756,1
757,3
758,1
759,3
760,0
761,1
762,1
763,0
764,2
765,1
766,2
767,1
768,1
769,2
770,0
771,0
772,2
773,1
774,1
775,0
776,1
777,1
778,1
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,0
787,2
788,0
789,1
790,1
791,1
792,1
793,0
794,1
795,0
796,1
797,0
798,5
799,1
800,2
801,0
802,0
803,2
804,0
805,0
806,1
807,0
808,2
809,1
810,0
811,3
812,0
813,1
814,0
815,2
816,1
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,0
825,1
826,2
827,0
828,2
829,0
830,1
831,0
832,0
833,2
834,2
835,0
836,1
837,1
838,2
839,0
840,1
841,0
842,0
843,2
844,0
845,4
846,0
847,1
848,0
849,0
850,1
851,0
852,1
853,2
854,0
855,0
856,0
857,2
858,2
859,0
860,2
861,1
862,0
863,5
864,0
865,1
866,0
867,1
868,0
869,0
870,2
871,0
872,1
873,1
874,1
875,4
876,0
877,1
878,2
879,0
880,4
881,0
882,0
883,2
884,0
885,1
886,1
887,0
888,0
889,0
890,1
891,1
892,0
893,3
894,3
895,2
896,1
897,1
898,1
899,2
900,2
901,1
902,0
903,1
904,0
905,1
906,1
907,0
908,1
909,1
910,2
911,0
912,1
913,2
914,1
915,0
916,0
917,1
918,2
919,4
920,0
921,1
922,1
923,0
924,1
925,1
926,3
927,0
928,0
929,1
930,1
931,0
932,1
933,3
934,0
935,1
936,0
937,2
938,0
939,11
940,0
941,1
942,1
943,1
944,1
945,2
946,1
947,0
948,1
949,1
950,0
951,1
952,0
953,0
954,1
955,0
956,1
957,2
958,2
959,2
960,1
961,1
962,3
963,1
964,2
965,1
966,1
967,1
968,1
969,2
970,3
971,0
972,1
973,0
974,2
975,0
976,1
977,1
978,1
979,3
980,1
981,0
982,1
983,0
984,1
985,0
986,1
987,2
988,0
989,2
990,2
991,1
992,1
993,0
994,1
995,0
996,2
997,1
998,0
999,5
1000,2
